,id,stcnet_attitude,stcnet_introspection,stcnet_sensitivity,stcnet_temper,stcnet_polarity,ocean_agreeableness,ocean_conscientiousness,ocean_extraversion,ocean_neuroticism,ocean_openness
0,1997_504851.txt,0.37327,0.34673,0.40978,0.00661,0.33644,True,False,False,True,True
1,1997_605191.txt,0.32546,0.55151,0.48233,0.288,0.40167,True,False,False,False,False
2,1997_687252.txt,0.27717,0.35414,0.40616,0.18447,0.35775,False,True,False,True,True
3,1997_568848.txt,0.45743,0.42196,-0.04107,0.43329,0.35803,True,True,True,False,False
4,1997_688160.txt,0.14949,0.30389,0.26105,0.25415,0.26285,True,False,True,False,True
5,1997_722902.txt,0.31859,0.53033,0.47917,0.13906,0.35209,True,False,True,False,True
6,1997_724708.txt,0.2984,0.50408,0.29578,0.2517,0.3581,True,False,False,False,False
7,1997_724794.txt,0.10857,0.31624,0.22314,0.08556,0.21104,False,True,False,False,True
8,1997_628043.txt,0.15357,0.16642,0.19565,-0.24276,0.10722,False,True,True,True,True
9,1997_708036.txt,0.19071,0.28773,0.16759,0.132,0.24849,True,True,True,True,False
10,1997_665915.txt,0.28086,0.13477,0.15996,-0.091,0.23499,True,True,True,True,True
11,1997_820679.txt,0.12559,0.31369,0.37208,0.18736,0.24138,False,False,False,False,False
12,1997_780901.txt,0.40432,0.46239,0.30372,0.16865,0.38945,False,False,False,True,False
13,1997_606398.txt,0.34953,0.33148,0.53196,0.16085,0.35893,True,False,False,True,False
14,1997_606357.txt,0.30427,0.39067,0.34279,0.37947,0.35905,True,True,False,False,False
15,1997_111389.txt,-0.08913,-0.09586,-0.0206,-0.183,-0.03318,True,False,True,False,False
16,1997_196603.txt,0.24135,0.13895,0.18757,0.16167,0.22214,False,False,False,False,True
17,1997_636228.txt,0.28039,0.47202,0.49115,0.29629,0.37126,True,False,False,False,True
18,1997_430457.txt,-0.07242,0.285,-0.24325,0.01983,0.04921,True,True,False,False,True
19,1997_475795.txt,0.28313,0.44287,0.58983,0.09431,0.39748,True,False,True,True,True
20,1997_356326.txt,0.32055,0.34874,0.24182,-0.09452,0.27256,True,False,False,False,False
21,1997_530565.txt,0.28188,0.34932,0.16375,-0.09094,0.23608,True,False,False,True,True
22,1997_378670.txt,0.31362,0.39621,0.4695,0.1572,0.37722,True,True,False,True,False
23,1997_814703.txt,0.37665,0.42373,0.29465,-0.03344,0.3743,True,True,True,False,False
24,1997_472441.txt,0.42319,0.41074,-0.08573,0.22276,0.29006,True,True,True,False,True
25,1997_339562.txt,0.42984,0.6694,0.49141,0.30913,0.48865,True,True,True,False,False
26,1997_760578.txt,0.38065,0.58333,0.494,0.361,0.49738,True,True,True,False,False
27,1997_767473.txt,0.25383,0.28943,0.43748,0.15012,0.30428,False,False,True,True,True
28,1997_743186.txt,0.38381,0.34802,0.26626,0.13979,0.31182,False,True,True,True,True
29,1997_747589.txt,0.1043,0.15903,0.2365,-0.01338,0.15739,True,False,True,True,True
30,1997_882637.txt,0.4621,0.38797,0.33962,0.18221,0.41526,False,False,False,True,False
31,1997_821162.txt,0.41078,0.70322,0.31607,0.20845,0.44378,False,True,False,True,True
32,1997_748062.txt,0.28833,0.06253,0.33608,-0.0388,0.24052,True,False,True,True,True
33,1997_867722.txt,0.2573,0.48806,0.21883,0.21347,0.29576,False,False,False,True,False
34,1997_784675.txt,0.37458,0.20435,0.66057,-0.06771,0.26631,True,True,True,False,True
35,1997_665910.txt,0.32015,0.58477,0.53982,0.2343,0.42646,False,True,True,False,True
36,1997_704970.txt,0.25539,0.35687,0.53633,0.23025,0.36038,False,False,False,False,True
37,1997_660638.txt,0.4353,0.48539,0.1745,0.25845,0.38848,True,False,True,False,True
38,1997_881327.txt,0.068,-0.14286,-0.04768,0.09645,-0.02431,True,False,False,True,False
39,1997_884710.txt,0.20568,0.29428,-0.0364,0.42612,0.27324,False,True,True,True,True
40,1997_880321.txt,-0.01453,0.02874,0.34987,0.26247,0.23877,False,True,False,True,False
41,1997_336857.txt,0.21109,0.24148,0.31686,0.12187,0.22165,True,False,False,True,True
42,1997_311198.txt,0.2558,0.17203,0.0712,-0.26625,0.13523,False,False,False,True,False
43,1997_378661.txt,0.28351,0.21655,0.3229,0.18461,0.28637,False,False,False,False,True
44,1997_693196.txt,0.17782,0.33924,0.16176,0.06988,0.20719,True,False,True,False,False
45,1997_394566.txt,0.3455,0.56479,0.30036,0.47578,0.48455,True,False,True,True,True
46,1997_677691.txt,0.34606,0.3769,0.1935,0.0709,0.30181,True,False,True,False,False
47,1997_419343.txt,0.32207,0.47271,0.10272,0.55856,0.40629,False,True,True,False,False
48,1997_473952.txt,0.37234,0.31979,0.1213,0.08641,0.34422,True,False,True,False,False
49,1997_904901.txt,0.3046,0.39876,0.2615,0.1995,0.33774,True,True,True,False,True
