id	speaker	scene	tokenized_text	tokenized_emotions	avg_primary_emotion	avg_secondary_emotion	avg_polarity	avg_introspection	avg_temper	avg_attitude	avg_sensitivity	words
1	KARL	1	[',', 'issue_forth', 'in', 'with', 'hat', 'and', 'overcoat', 'which', 'he', 'take', 'off', 'Heinrich', '!', 'Heinrich', '!']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'serenity', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing	0.171		0.288	0.053		15
2	KARL	1	['Where', 'were', 'you', '?']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing						4
4	KARL	1	"['The', 'door', 'is', 'wide', 'receptive', ';', 'anybody', 'could', 'have', 'walk', 'in', '.', 'Where', ""'s"", 'today', ""'s"", 'paper', '?', 'well', ',', 'travel_rapidly', 'up', '.']"	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing	0.39	0.457	0.695	0.136		23
5	KARL	1	[',', 'ignite', 'a', 'cigarette', 'Did', 'you', 'take', 'my', 'attire', 'suit', 'to', 'be', 'weight-lift', '?']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'grief', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing	0.158	-0.847		-0.207	0.942	14
7	KARL	1	"['good', '!', 'Here', ""'s"", 'a', 'crown', '.', 'induce', 'me', 'a', 'white', 'tie', ',', 'same', 'as', 'the', 'last', 'one', '.', 'have', 'on', '!', 'put', 'out', 'a', 'attire', 'shirt', 'on', 'the', 'layer', ',', 'then', 'look', 'for', 'my', 'pearl', 'button', '—', 'they', 'are', 'probably', 'in', 'the', 'top', 'drawer', '—', 'in', 'a', 'match-box', '.', 'end', '!', 'give', 'me', 'that', 'crown', '.', 'consume', 'this', '.', 'induce', 'me', 'a', 'couple', 'of', 'white', 'glove', ',', 'seven', 'and', 'a', 'half', '.', 'Ohio', '!', 'and', 'Heinrich', ',', 'before', 'you', 'survive', ',', 'put', 'the', 'Venetian', 'chair', 'next', 'to', 'the', 'window', '.', 'At', 'three', ""o'clock"", 'Mrs', 'Zanden', 'will', 'be', 'here', 'to', 'have', 'her', 'portrait', 'paint', ',', 'and', 'I', 'shall', 'be', 'at', 'home', 'to', 'cipher', '.', 'give', 'me', 'an', 'ash', 'tray', '.', 'All', 'right', ';', 'survive', 'along', '.']"	[{'primary_emotion': 'pleasantness', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'sadness', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'grief', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'sadness', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'contentment', 'secondary_emotion': 'acceptance'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'bliss'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'grief', 'secondary_emotion': 'terror'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'joy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'acceptance', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'enthusiasm'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing	0.386	0.329	0.628	0.509	0.572	126
9	KARL	1	[',', 'seat', 'on', 'couch', 'liter', '.', 'What', 'is', 'it', '?']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing						10
11	KARL	1	['Where', '?']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing						2
13	KARL	1	[',', 'indifferent', ',', 'learn', 'newspaper', 'Send', 'her', 'off', '.']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'enthusiasm', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'calmness', 'secondary_emotion': None}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'delight'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing	0.75	0.951	0.479	0.673	0.96	9
16	KARL	1	['No', '.']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing						2
18	KARL	1	['No', '.']	[{'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}, {'primary_emotion': 'ecstasy', 'secondary_emotion': 'loathing'}]	ecstasy	loathing						2
